AF ,23
AL ,147
AO ,308
AR ,13
AS ,75
BF ,39
BG ,5
BJ ,12
BO ,17
BS ,44
BW ,64
BY ,8
CF ,10
CG ,357
CI ,3
CK ,51
CM ,111
CV ,12
CY ,29
DJ ,2
DO ,2
DZ ,28
EE ,9
EG ,12
ET ,420
FJ ,104
FK ,19
GA ,5
GD ,16
GE ,35
GH ,82
GQ ,17
GS ,13
GU ,46
GY ,12
HT ,1
IL ,6
IO ,62
IQ ,665
IR ,117
JE ,9
JO ,2
KE ,131
KG ,31
KI ,427
KM ,179
KP ,4
KW ,58
LB ,57
LC ,13
LK ,39
LR ,67
LS ,3
LT ,14
MA ,634
MG ,393
MT ,250
MU ,2
MV ,169
MW ,165
MZ ,249
NA ,60
NE ,375
NF ,71
NR ,20
NU ,19
PA ,79
PE ,1
PF ,42
PG ,2
PM ,24
PS ,73
PY ,95
SA ,53
SB ,416
SC ,239
SD ,161
SH ,3
SL ,29
SM ,58
SR ,181
SV ,42
SY ,283
SZ ,7
TD ,68
TJ ,183
TL ,2
TM ,189
TN ,451
TR ,21
TT ,83
UG ,2
UM ,1
UY ,27
VI ,47
VU ,97
WF ,120
WS ,148
YE ,41
ZA ,3
ZM ,21
ZW ,87
